Name,Platform,Year,Genre,Publisher,Critic_Score,Critic_Count,User_Score,User_Count
FIFA Soccer 13,PS3,2012,Action,Electronic Arts,88,37,6.6,348
GoldenEye 007,N64,1997,Shooter,Nintendo,,,,
Pokemon Black 2/Pokemon White 2,DS,2012,Role-Playing,Nintendo,,,,
Final Fantasy X,PS2,2001,Role-Playing,Sony Computer Entertainment,92,53,8.7,1056
The Sims 3,PC,2009,Simulation,Electronic Arts,86,75,7.6,886
Mario & Sonic at the Olympic Games,Wii,2007,Sports,Sega,,,,
Star Wars Battlefront (2015),PS4,2015,Shooter,Electronic Arts,,,,
Final Fantasy VIII,PS,1999,Role-Playing,SquareSoft,90,24,8.6,644
Pac-Man,2600,1982,Puzzle,Atari,,,,
Pokémon Platinum Version,DS,2008,Role-Playing,Nintendo,83,46,8.5,203
Grand Theft Auto: Liberty City Stories,PSP,2005,Action,Take-Two Interactive,88,65,7.6,451
Call of Duty: Advanced Warfare,PS4,2014,Shooter,Activision,83,39,5.7,1443
The Legend of Zelda: Ocarina of Time,N64,1998,Action,Nintendo,,,,
FIFA 17,PS4,2016,Sports,Electronic Arts,85,41,5,398
Crash Bandicoot 2: Cortex Strikes Back,PS,1997,Platform,Sony Computer Entertainment,,,,
Super Smash Bros. for Wii U and 3DS,3DS,2014,Fighting,Nintendo,,,,
Super Mario Galaxy 2,Wii,2010,Platform,Nintendo,97,87,9.1,1854
Super Mario Bros. 2,NES,1988,Platform,Nintendo,,,,
Call of Duty: Black Ops 3,XOne,2015,Shooter,Activision,,,,
Call of Duty: World at War,X360,2008,Shooter,Activision,84,84,7.6,580
Battlefield 3,X360,2011,Shooter,Electronic Arts,84,57,7.4,2142
Need for Speed Underground,PS2,2003,Racing,Electronic Arts,85,33,8.6,171
Just Dance,Wii,2009,Misc,Ubisoft,49,21,8,110
Battlefield 3,PS3,2011,Shooter,Electronic Arts,85,38,7.5,1761
Fallout 4,PS4,2015,Role-Playing,Bethesda Softworks,87,58,6.5,4228
Tekken 3,PS,1998,Fighting,Sony Computer Entertainment,96,15,9.1,367
The Legend of Zelda: Twilight Princess,Wii,2006,Action,Nintendo,95,73,9,1658
Pokemon Sun/Moon,3DS,2016,Role-Playing,Nintendo,,,,
Crash Bandicoot 3: Warped,PS,1998,Platform,Sony Computer Entertainment,91,12,8.9,432
Mario Kart 8,WiiU,2014,Racing,Nintendo,88,82,9.1,1599
Super Smash Bros. Melee,GC,2001,Fighting,Nintendo,92,38,9.1,568
Mario Kart: Double Dash!!,GC,2003,Racing,Nintendo,,,,
